"","name","Salary","Height","FG.","Percentage","sp_percentage"
"149","S. Curry - GSW","37457154",75,0.472,0.186045865184156,0.289855072463768
"150","S. Dinwiddie - BRK","1656092",78,0.442,0.107803261646417,0.186915887850467
"151","S. Gilgeous-Alexander - LAC","3375360",78,0.476,0.0946706300759064,0.0470588235294118
"152","S. Ibaka - TOR","21666667",82,0.529,0.130035440047253,0.0860215053763441
"153","T. Ariza - WAS","15000000",80,0.399,0.10374190284823,0.0666666666666667
"154","T. Bryant - WAS","1378242",83,0.616,0.070819340424635,0.104761904761905
"155","T. Burke - DAL","1795015",73,0.431,0.0814558058925477,0.0283018867924528
"156","T. Evans - IND","12400000",78,0.389,0.0907932069575229,0.036144578313253
"157","T. Gibson - MIN","14000000",81,0.566,0.0714456138490496,0.029126213592233
"158","T. Hardaway - DAL","17325000",78,0.393,0.148583637124245,0.0377358490566038
"159","T. Harris - PHI","14800000",81,0.487,0.159813512687252,0.0930232558139535
"160","T. Lyles - DEN","3364249",82,0.418,0.0671444532250593,0.0294117647058824
"161","T. Ross - ORL","10500000",79,0.428,0.137262489325363,0.268292682926829
"162","T. Rozier - BOS","3050390",73,0.387,0.0897557280818027,0.036697247706422
"163","T. Satoransky - WAS","3129187",79,0.485,0.0741916899686653,0.0380952380952381
"164","T. Warren - PHO","11750000",80,0.486,0.0717314944257134,0.109756097560976
"165","T. Young - ATL","5356440",74,0.418,0.155499133019569,0.282051282051282
"166","T. Young - IND","13764045",80,0.527,0.115465274065545,0.072289156626506
"167","V. Oladipo - IND","21000000",76,0.423,0.0804309387721535,0.180722891566265
"168","W. Cauley-Stein - SAC","4696875",84,0.556,0.0919260700389105,0.119266055045872
"169","Z. LaVine - CHI","19500000",77,0.467,0.17562063465023,0.444444444444444
