郵遞區號,CountryName,CountryAreaName,CT,WarinCountryArea,二級警戒_1,二級警戒_3,二級警戒_6,二級警戒_12,二級警戒_24,一級警戒_1,一級警戒_3,一級警戒_6,一級警戒_12,一級警戒_24
624,嘉義縣,義竹鄉,嘉義縣義竹鄉,"義竹鄉-後鎮村,北華村,龍蛟村,新店村,五厝村,官順村,平溪村,柳林村",30,80,100,150,200,40,90,120,180,230
625,嘉義縣,布袋鎮,嘉義縣布袋鎮,"布袋鎮(全鄉)-岑海里,永安里,菜埔里,光復里,中安里,西安里,東安里,東港里,復興里,新岑里,新民里,岑海里,新民里,好美里,貴舍里,過溝里,振寮里,見龍里",30,80,100,150,200,40,90,120,180,230
630,雲林縣,斗南鎮,雲林縣斗南鎮,"斗南鎮-新南里,新崙里,西伯里,東明里,明昌里,大東里,將軍里,埤麻里,小東里",60,110,140,200,300,70,120,160,250,350
631,雲林縣,大埤鄉,雲林縣大埤鄉,"大埤鄉-豐田村,西鎮村,興安村,北鎮村,三結村,聯美村,豐崗村,吉田村",50,100,130,170,250,60,110,150,210,300
632,雲林縣,虎尾鎮,雲林縣虎尾鎮,"虎尾鎮-平和里,西安里,穎川里,下溪里,公安里,和平里,興南里,中山里,立仁里,",50,90,120,180,250,60,100,150,220,300
633,雲林縣,土庫鎮,雲林縣土庫鎮,"土庫鎮-溪邊里(竹腳寮,下庄部落),崙內里,興新里,石廟里(富興社區),西平里(山腳部落),奮起里,越港里,北平里,東平里,宮北里",50,100,130,190,270,60,110,150,220,300
634,雲林縣,褒忠鄉,雲林縣褒忠鄉,"褒忠鄉-龍岩村,有才村,中勝村,埔姜村,馬鳴村,新湖村,中民村,潮厝村,田洋村,龍岩村",50,110,150,180,220,60,120,170,210,250
635,雲林縣,東勢鄉,雲林縣東勢鄉,"東勢鄉-同安村,昌南村,安南村,新坤村,月眉村,復興村,四美村,東北村",50,100,130,170,220,60,110,150,200,250
636,雲林縣,台西鄉,雲林縣台西鄉,"台西鄉-永豐村(崙豐國小),五港村,崙豐村,溪頂村,溪底村,台西村,海北村,海口村,海南村,和豐村,富琦村,蚊港村",30,80,120,150,200,40,90,130,180,230
637,雲林縣,崙背鄉,雲林縣崙背鄉,"崙背鄉-豐榮村,水尾村,大有村,阿勸村,枋南村,羅厝村,舊莊村",50,110,130,170,250,60,120,150,200,300
638,雲林縣,麥寮鄉,雲林縣麥寮鄉,"麥寮鄉-海豐村,崙後村,三盛村,雷厝村,光復路,後安村,施厝村,橋頭村,崙後村,新吉村,麥豐村, 麥津村",30,80,110,150,200,40,90,130,180,230
640,雲林縣,斗六市,雲林縣斗六市,"斗六市-重光里(二城社區),虎溪里(民生社區),榴北里,成功里,鎮東里,久安里,溪洲里,長平里,江厝里,三平里,公誠里",50,110,150,180,280,60,120,170,220,320
643,雲林縣,林內鄉,雲林縣林內鄉,"林內鄉-林中村,林北村,烏麻村,烏塗村,重興村",60,120,170,250,350,70,130,190,300,400
646,雲林縣,古坑鄉,雲林縣古坑鄉,"古坑鄉-東和村,湳仔村,崁腳村,新庄村",70,150,240,300,400,80,170,260,350,450
647,雲林縣,莿桐鄉,雲林縣莿桐鄉,"莿桐鄉-埔子村,大美村,興貴村,饒平村,義和村,埔尾村",50,100,130,200,250,60,110,150,240,300
648,雲林縣,西螺鎮,雲林縣西螺鎮,"西螺鎮-頂湳里,振興里,新安里,安定里,福田里,廣興里,鹿場里,埤頭里",50,100,150,240,310,60,110,170,270,350
649,雲林縣,二崙鄉,雲林縣二崙鄉,"二崙鄉-大同村,定安村,永定村,油車村,復興村,大義村,大華村(蔬菜區),庄西村,崙東村,大庄村,港後村",50,100,130,200,250,60,110,150,240,300
651,雲林縣,北港鎮,雲林縣北港鎮,"北港鎮-溪墘里,水埔里,公館里,仁和里,光民里,後溝里,東陽里,番溝里,安南里,新街里,扶朝里,樹腳里",50,90,120,170,250,60,100,150,210,300
652,雲林縣,水林鄉,雲林縣水林鄉,"水林鄉-番薯村,山腳村,後寮村,土厝村,海埔村,溪墘村,勝興村,松北村,松西村,順興村",30,80,110,150,200,40,90,130,180,230
653,雲林縣,口湖鄉,雲林縣口湖鄉,"口湖鄉-梧南村,梧北村,湖口村,下崙村,過港村,湖東村,蚵寮村,港西村,台子村,崙中村,後厝村,水井村",30,80,110,150,200,40,90,130,180,230
654,雲林縣,四湖鄉,雲林縣四湖鄉,"四湖鄉-林厝村,林東村,崙南村,崙北村,箔子村,箔東村,廣溝村,三姓村",30,80,110,150,200,40,90,130,180,230
655,雲林縣,元長鄉,雲林縣元長鄉,"元長鄉-潭東村(雲100),後湖村(雲109),合和村,新吉村,崙仔村,山內村,頂寮村,客厝村,瓦嗂村,下寮村,內寮村",50,100,130,170,220,60,110,150,200,250
700,台南市,中西區,台南市中西區,"中西區-天后里,郡王里,永華里,民生里,西湖里,小西里",40,100,130,160,210,50,110,150,200,250
701,台南市,東區,台南市東區,"東區-小東里,莊敬里,裕聖里,關聖里",40,100,130,160,210,50,110,150,200,250
702,台南市,南區,台南市南區,"南區-永寧里,同安里,佛壇里,松安里,鯤鯓里,喜南里",40,100,130,160,210,50,110,150,200,250
704,台南市,北區,台南市北區,"北區-大豐里,大港里,東興里,實踐里",40,100,130,160,210,50,110,150,200,250
708,台南市,安平區,台南市安平區,"安平區-金城里,海頭里,漁光里,國平里",40,100,130,160,210,50,110,150,200,250
709,台南市,安南區,台南市安南區,"安南區-本淵寮地區（淵東,淵西里）,鹿耳里,顯宮里,佃東里,佃西里,海尾寮一帶,立德,興國管理學院周邊,公塭里,北安路,安中路,長溪路,海佃路,南興里,城北里",40,80,110,150,210,50,90,130,180,250
710,台南市,永康區,台南市永康區,"永康區-南灣里(南灣街,大灣一街,大灣路),崑山里,西灣里,永康工業區一帶,三民里,富強路一段,自強路,蔦松里,北灣里,西勢里,龍潭里",40,100,130,180,260,50,110,150,220,300
711,台南市,歸仁區,台南市歸仁區,"歸仁區-歸仁里,歸南里,六甲里,八甲里,媽廟里,文化里,西埔里,七甲里,大潭里,許厝里",50,90,130,190,260,60,100,150,230,300
712,台南市,新化區,台南市新化區,"新化區-知義里,崙頂里,大坑里,護國里,中央里,北勢里",50,120,170,250,320,60,130,200,280,350
713,台南市,左鎮區,台南市左鎮區,"左鎮區-光和里,榮和里,左鎮里,中正里,內庄里,岡林里,草山里",60,110,190,250,320,70,120,210,280,350
714,台南市,玉井區,台南市玉井區,"玉井區-玉田里,玉井里,中正里,豐里里,望明里,三和里,竹田里",70,140,190,250,350,80,150,220,300,400
715,台南市,楠西區,台南市楠西區,"楠西區-東勢里,楠西里,鹿田里,灣丘里",70,150,200,320,400,80,160,230,400,450
716,台南市,南化區,台南市南化區,"南化區-北寮里,南化里,小崙里,東和里,中坑里,西埔里,玉山里,南山里",60,140,200,320,400,70,150,220,350,450
717,台南市,仁德區,台南市仁德區,"仁德區-保安里(港尾溝),太子里,土庫里,一甲里,二行里,大甲里,中生里,上崙里,三甲里,田厝里",50,90,120,180,250,60,100,150,230,300
718,台南市,關廟區,台南市關廟區,"關廟區-新光里,新埔里,香洋里,山西里,下湖里,埤頭里,深坑里",50,90,120,190,250,60,100,150,230,300
719,台南市,龍崎區,台南市龍崎區,"龍崎區-石里,大坪里,龍船里",70,140,220,320,400,80,150,250,350,450
720,台南市,官田區,台南市官田區,"官田區-渡頭里（活動中心旁）,社子里（湧泉寺附近）,西庄里,拔林里,東庄里",50,90,130,180,250,60,100,150,220,300
721,台南市,麻豆區,台南市麻豆區,"麻豆區-北勢里,小埤里,埤頭里,港尾里(客子寮),海埔里,巷口里,謝安里,謝厝寮等低漥區里",40,80,110,140,200,50,90,140,180,250
722,台南市,佳里區,台南市佳里區,"佳里區-龍安里,蚶寮里,區山里（仁愛路,中山路）,建南里,三協里,安西里,頂部里,通興里,溪洲里",50,90,120,160,250,60,100,140,200,300
723,台南市,西港區,台南市西港區,"西港區-羨林里,南海里,西港里,劉厝里,永樂里,後營里",50,90,130,190,250,60,100,150,240,300
724,台南市,七股區,台南市七股區,"七股區-大埕里,玉成里,篤加里,七股里,永吉里,頂山里,西寮里,溪南里,十份里,三股里,大寮里,龍山里,竹港里,城內里,大潭里",40,80,120,170,220,50,90,140,200,250
725,台南市,將軍區,台南市將軍區,"將軍區-廣山里,玉山里,鯤鯓里,鯤溟里,平沙里,長沙里,將富里,仁和里,保源里,苓和里,三吉里",40,80,100,180,250,50,100,130,220,300
726,台南市,學甲區,台南市學甲區,"學甲區-頂州里,三慶里,新芳里,光華里,秀昌里（三連路與新生路口）,中洲里,豐和里,美豐里,美和里,紅茄里,頭港里,光明里,宅港里",40,80,100,180,250,50,100,130,220,300
727,台南市,北門區,台南市北門區,"北門區-錦湖里,玉港里,永隆里,新圍里,三光里,北馬里,白米里,鯤江里,北門里,慈安里",40,80,100,150,200,50,90,120,180,250
730,台南市,新營區,台南市新營區,"新營區-姑爺里,土庫里,中營里,延平里,護鎮里,太南里,民權里,永生里,鐵線里",50,110,140,200,250,60,120,160,230,300
731,台南市,後壁區,台南市後壁區,"後壁區-崁頂里,後廓里,新嘉里,新東里,嘉苳里,土溝里,菁寮里,竹新里,平安里",50,90,120,170,250,60,100,150,200,300
732,台南市,白河區,台南市白河區,"白河區-河東里（瓦窯子,西勢尾）,白河里,昇安里,永安里,崁頭里,玉豐里",50,90,120,190,260,60,100,150,230,300
733,台南市,東山區,台南市東山區,"東山區-南溪里(二重溪部落),東原里,聖賢里(北勢寮部落,頂窩部落),科里里(科里部落),嶺南里,青山里(埤角部落),東中里(北馬部落),東山里,東正里",50,100,140,180,250,60,120,160,220,300
734,台南市,六甲區,台南市六甲區,"六甲區-甲東里,六甲里,中社里,龜港里",50,110,150,200,300,60,120,180,250,350
735,台南市,下營區,台南市下營區,"下營區-大埤里,西連里,賀建里,仁里里,茅港尾,大屯里",40,80,110,150,200,50,90,140,180,250
736,台南市,柳營區,台南市柳營區,"柳營區-大農里,旭山里(山仔腳社區),八翁里,人和里,士林里,光福里,重溪里",50,110,140,200,250,60,120,160,230,300
737,台南市,鹽水區,台南市鹽水區,"鹽水區-飯店里,孫厝里,田寮里,岸內里,下中里,後宅里,水秀里,大豐里",50,90,120,180,250,60,100,150,210,300
741,台南市,善化區,台南市善化區,"善化區-六分里,胡厝里,溪美里,東隆里,胡家里,溪美里",50,110,150,200,270,60,120,170,250,320
742,台南市,大內區,台南市大內區,"大內區-石城里,大內里,內江里,內郭里,石湖里",60,130,210,320,400,70,150,230,350,450
743,台南市,山上區,台南市山上區,"山上區-南洲里,明和里,山上里,新莊里,玉峰里,平陽里",60,130,210,270,350,70,150,230,300,400
744,台南市,新市區,台南市新市區,"新市區-永就里,大營里,大社里,潭頂里,社內里,豐華里,新和里,三舍里,大洲里",40,100,130,180,260,50,110,150,220,300
745,台南市,安定區,台南市安定區,"安定區-蘇厝里,港口里,安定里,中榮里,安定里,南安里,港尾里,管寮里",50,110,150,200,270,60,120,170,250,320
800,高雄市,新興區,高雄市新興區,"新興區-建華里,秋山里,興昌里,長驛里,華聲里,開平里,新江里",50,110,150,200,300,60,120,180,250,350
801,高雄市,前金區,高雄市前金區,"前金區-博孝里,新生里,三川里,東金里,草江里,河南二路,光復二街,中正四路,自立二路",50,110,150,200,300,60,120,180,250,350
802,高雄市,苓雅區,高雄市苓雅區,"苓雅區-文昌里,日中里,正大里,正義里,城北里,凱旋里,苓雅里,中山路,四維路,河南路,凱旋路,武廟路,永樂街",50,110,150,200,300,60,120,180,250,350
803,高雄市,鹽埕區,高雄市鹽埕區,"鹽埕區-府北里(中正四路、大公路、大勇路),中山里(鼓山一路),江南里,莒光街,光榮街,建國四路",50,110,150,200,300,60,120,180,250,350
804,高雄市,鼓山區,高雄市鼓山區,"鼓山區-前鋒里(翠華公園),厚生里(鼓山三路),裕豐里(裕豐街),哈瑪星一帶,九如四路,新疆路,河西一路,中華路與青海街,河邊街",50,110,140,200,300,60,130,160,250,350
